thread_id,customer_text,customer_text_clean,brand_response,brand_response_clean,tweet_id,intent
1000069,@AmazonHelp I returned item 299868-2129905 two weeks ago and still no refund. This is ridiculous.,I returned item 299868-2129905 two weeks ago and still no refund. This is ridiculous.,"I've checked and your refund for 299868-2129905 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.","I've checked and your refund for 299868-2129905 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.",1000069,refund_request
1000045,Order 740595-2964541 says delivered but there's nothing on my porch. Ring camera shows no one came.,Order 740595-2964541 says delivered but there's nothing on my porch. Ring camera shows no one came.,"I'm so sorry about that! I've started a replacement for order 740595-2964541 at no cost, it'll ship today. Please send a photo via DM so we can also file it with the carrier.","I'm so sorry about that! I've started a replacement for order 740595-2964541 at no cost, it'll ship today. Please send a photo via DM so we can also file it with the carrier.",1000045,delivery_issue
1000091,"@AmazonHelp requesting a refund for 195431-5380786, item never arrived and it's been 3 weeks.","requesting a refund for 195431-5380786, item never arrived and it's been 3 weeks.","I've checked and your refund for 195431-5380786 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.","I've checked and your refund for 195431-5380786 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.",1000091,refund_request
1000343,"@AmazonHelp just wanted to say your team fixed my 422329-1927926 issue super fast, thank you!","just wanted to say your team fixed my 422329-1927926 issue super fast, thank you!","That means a lot, thank you for the kind words! Glad we could sort out 422329-1927926 quickly.","That means a lot, thank you for the kind words! Glad we could sort out 422329-1927926 quickly.",1000343,positive_feedback
1000011,@AmazonHelp my order 761259-2037872 still says 'preparing for shipment' after a week.,my order 761259-2037872 still says 'preparing for shipment' after a week.,"Hi, sorry for the wait! I can see order 761259-2037872 is out for delivery and should arrive by end of day. DM us if it doesn't show up.","Hi, sorry for the wait! I can see order 761259-2037872 is out for delivery and should arrive by end of day. DM us if it doesn't show up.",1000011,order_status
1000243,"Please cancel 341944-8723224, ordered by mistake.","Please cancel 341944-8723224, ordered by mistake.",Cancelled! Order 341944-8723224 hadn't shipped yet so it's been stopped and you won't be charged.,Cancelled! Order 341944-8723224 hadn't shipped yet so it's been stopped and you won't be charged.,1000243,cancellation
1000231,"@AmazonHelp need to cancel order 246074-9787189 ASAP, hasn't shipped yet right?","need to cancel order 246074-9787189 ASAP, hasn't shipped yet right?",Got it! I've submitted a cancellation for 246074-9787189 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,Got it! I've submitted a cancellation for 246074-9787189 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,1000231,cancellation
1000199,"@AmazonHelp item 422733-4610140 arrived broken, doesn't even turn on.","item 422733-4610140 arrived broken, doesn't even turn on.","That's disappointing, apologies. I've issued a replacement for 422733-4610140 and a prepaid label to send the defective one back whenever convenient.","That's disappointing, apologies. I've issued a replacement for 422733-4610140 and a prepaid label to send the defective one back whenever convenient.",1000199,product_defect
1000061,Order 539297-9968948 says delivered but there's nothing on my porch. Ring camera shows no one came.,Order 539297-9968948 says delivered but there's nothing on my porch. Ring camera shows no one came.,"That's not okay, thank you for letting us know. I've opened an investigation for 539297-9968948 with the carrier and issued a reshipment.","That's not okay, thank you for letting us know. I've opened an investigation for 539297-9968948 with the carrier and issued a reshipment.",1000061,delivery_issue
1000317,Quick question -- do you ship 360522-7451858-type items internationally?,Quick question -- do you ship 360522-7451858-type items internationally?,"Yes, most items ship internationally with some exceptions -- happy to check 360522-7451858 specifically if you share the product link.","Yes, most items ship internationally with some exceptions -- happy to check 360522-7451858 specifically if you share the product link.",1000317,general_inquiry
1000161,Why does my card show a charge for 523425-6689424 that's way more than what I was quoted at checkout?,Why does my card show a charge for 523425-6689424 that's way more than what I was quoted at checkout?,"Sorry about that! I can see the duplicate charge on 523425-6689424 -- I've submitted a refund for the extra charge, it'll drop off in 3-5 business days.","Sorry about that! I can see the duplicate charge on 523425-6689424 -- I've submitted a refund for the extra charge, it'll drop off in 3-5 business days.",1000161,billing_issue
1000023,Can someone tell me the status of 714006-8603172? Nothing on the tracking page.,Can someone tell me the status of 714006-8603172? Nothing on the tracking page.,Thanks for flagging this. Order 714006-8603172 is currently with the carrier -- tracking updates can lag up to 24h. We'll monitor it for you.,Thanks for flagging this. Order 714006-8603172 is currently with the carrier -- tracking updates can lag up to 24h. We'll monitor it for you.,1000023,order_status
1000235,"@AmazonHelp need to cancel order 494912-8573003 ASAP, hasn't shipped yet right?","need to cancel order 494912-8573003 ASAP, hasn't shipped yet right?",Got it! I've submitted a cancellation for 494912-8573003 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,Got it! I've submitted a cancellation for 494912-8573003 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,1000235,cancellation
1000263,"@AmazonHelp worst customer service ever, nobody has responded about 883796-9792363 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 883796-9792363 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 883796-9792363. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 883796-9792363. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000263,complaint_escalation
1000325,"@AmazonHelp just wanted to say your team fixed my 921147-2829488 issue super fast, thank you!","just wanted to say your team fixed my 921147-2829488 issue super fast, thank you!","That means a lot, thank you for the kind words! Glad we could sort out 921147-2829488 quickly.","That means a lot, thank you for the kind words! Glad we could sort out 921147-2829488 quickly.",1000325,positive_feedback
1000309,@AmazonHelp does the warranty on 370907-4391377 cover water damage?,does the warranty on 370907-4391377 cover water damage?,"Yes, most items ship internationally with some exceptions -- happy to check 370907-4391377 specifically if you share the product link.","Yes, most items ship internationally with some exceptions -- happy to check 370907-4391377 specifically if you share the product link.",1000309,general_inquiry
1000079,Where's my refund for order 731535-7109648? Your app says 'processed' but nothing in my bank account.,Where's my refund for order 731535-7109648? Your app says 'processed' but nothing in my bank account.,Apologies for the delay -- I can confirm the return for 731535-7109648 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,Apologies for the delay -- I can confirm the return for 731535-7109648 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,1000079,refund_request
1000295,Quick question -- do you ship 595120-7960307-type items internationally?,Quick question -- do you ship 595120-7960307-type items internationally?,"Yes, most items ship internationally with some exceptions -- happy to check 595120-7960307 specifically if you share the product link.","Yes, most items ship internationally with some exceptions -- happy to check 595120-7960307 specifically if you share the product link.",1000295,general_inquiry
1000013,Can someone tell me the status of 148845-3234302? Nothing on the tracking page.,Can someone tell me the status of 148845-3234302? Nothing on the tracking page.,Thanks for flagging this. Order 148845-3234302 is currently with the carrier -- tracking updates can lag up to 24h. We'll monitor it for you.,Thanks for flagging this. Order 148845-3234302 is currently with the carrier -- tracking updates can lag up to 24h. We'll monitor it for you.,1000013,order_status
1000085,Where's my refund for order 876314-5441883? Your app says 'processed' but nothing in my bank account.,Where's my refund for order 876314-5441883? Your app says 'processed' but nothing in my bank account.,Apologies for the delay -- I can confirm the return for 876314-5441883 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,Apologies for the delay -- I can confirm the return for 876314-5441883 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,1000085,refund_request
1000265,"@AmazonHelp worst customer service ever, nobody has responded about 732674-9535313 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 732674-9535313 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 732674-9535313. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 732674-9535313. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000265,complaint_escalation
1000223,"@AmazonHelp item 143690-7609864 arrived broken, doesn't even turn on.","item 143690-7609864 arrived broken, doesn't even turn on.","That's disappointing, apologies. I've issued a replacement for 143690-7609864 and a prepaid label to send the defective one back whenever convenient.","That's disappointing, apologies. I've issued a replacement for 143690-7609864 and a prepaid label to send the defective one back whenever convenient.",1000223,product_defect
1000259,"@AmazonHelp worst customer service ever, nobody has responded about 180178-9499648 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 180178-9499648 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 180178-9499648. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 180178-9499648. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000259,complaint_escalation
1000019,"Hi AmazonHelp, where is my order #846702-2053424? It was supposed to arrive yesterday.","Hi AmazonHelp, where is my order #846702-2053424? It was supposed to arrive yesterday.","Hi, sorry for the wait! I can see order 846702-2053424 is out for delivery and should arrive by end of day. DM us if it doesn't show up.","Hi, sorry for the wait! I can see order 846702-2053424 is out for delivery and should arrive by end of day. DM us if it doesn't show up.",1000019,order_status
1000049,"@AmazonHelp my package 509940-9330000 arrived completely smashed, box was soaking wet too.","my package 509940-9330000 arrived completely smashed, box was soaking wet too.","I'm so sorry about that! I've started a replacement for order 509940-9330000 at no cost, it'll ship today. Please send a photo via DM so we can also file it with the carrier.","I'm so sorry about that! I've started a replacement for order 509940-9330000 at no cost, it'll ship today. Please send a photo via DM so we can also file it with the carrier.",1000049,delivery_issue
1000153,"@AmazonHelp I can't log into my account, keeps saying 'incorrect password' even after reset.","I can't log into my account, keeps saying 'incorrect password' even after reset.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.",1000153,account_access
1000331,"Shoutout to @AmazonHelp support for sorting out 697040-1630684 in like 10 minutes, appreciate it!","Shoutout to support for sorting out 697040-1630684 in like 10 minutes, appreciate it!","That means a lot, thank you for the kind words! Glad we could sort out 697040-1630684 quickly.","That means a lot, thank you for the kind words! Glad we could sort out 697040-1630684 quickly.",1000331,positive_feedback
1000167,Why does my card show a charge for 447600-9681099 that's way more than what I was quoted at checkout?,Why does my card show a charge for 447600-9681099 that's way more than what I was quoted at checkout?,"Sorry about that! I can see the duplicate charge on 447600-9681099 -- I've submitted a refund for the extra charge, it'll drop off in 3-5 business days.","Sorry about that! I can see the duplicate charge on 447600-9681099 -- I've submitted a refund for the extra charge, it'll drop off in 3-5 business days.",1000167,billing_issue
1000225,"@AmazonHelp need to cancel order 760256-4905896 ASAP, hasn't shipped yet right?","need to cancel order 760256-4905896 ASAP, hasn't shipped yet right?",Got it! I've submitted a cancellation for 760256-4905896 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,Got it! I've submitted a cancellation for 760256-4905896 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,1000225,cancellation
1000009,"Hi AmazonHelp, where is my order #677814-8122250? It was supposed to arrive yesterday.","Hi AmazonHelp, where is my order #677814-8122250? It was supposed to arrive yesterday.","Hi, sorry for the wait! I can see order 677814-8122250 is out for delivery and should arrive by end of day. DM us if it doesn't show up.","Hi, sorry for the wait! I can see order 677814-8122250 is out for delivery and should arrive by end of day. DM us if it doesn't show up.",1000009,order_status
1000345,"@AmazonHelp just wanted to say your team fixed my 807225-8046697 issue super fast, thank you!","just wanted to say your team fixed my 807225-8046697 issue super fast, thank you!",So happy to hear that about 807225-8046697! We'll pass this along to the team.,So happy to hear that about 807225-8046697! We'll pass this along to the team.,1000345,positive_feedback
1000101,"Need to send back 826161-6776075, it's not what I ordered. What's the process?","Need to send back 826161-6776075, it's not what I ordered. What's the process?",Sorry about that mix-up. You can start a free return for 826161-6776075 from Your Orders -- happy to send you the direct link if it's not showing.,Sorry about that mix-up. You can start a free return for 826161-6776075 from Your Orders -- happy to send you the direct link if it's not showing.,1000101,return_request
1000339,"@AmazonHelp just wanted to say your team fixed my 392137-6307590 issue super fast, thank you!","just wanted to say your team fixed my 392137-6307590 issue super fast, thank you!",So happy to hear that about 392137-6307590! We'll pass this along to the team.,So happy to hear that about 392137-6307590! We'll pass this along to the team.,1000339,positive_feedback
1000195,"Received 677816-4178552 today and it's clearly defective, won't power on at all.","Received 677816-4178552 today and it's clearly defective, won't power on at all.","So sorry to hear that! I've set up a free replacement for 677816-4178552, no need to wait for the return -- it ships today.","So sorry to hear that! I've set up a free replacement for 677816-4178552, no need to wait for the return -- it ships today.",1000195,product_defect
1000039,"@AmazonHelp my package 597128-2090518 arrived completely smashed, box was soaking wet too.","my package 597128-2090518 arrived completely smashed, box was soaking wet too.","That's not okay, thank you for letting us know. I've opened an investigation for 597128-2090518 with the carrier and issued a reshipment.","That's not okay, thank you for letting us know. I've opened an investigation for 597128-2090518 with the carrier and issued a reshipment.",1000039,delivery_issue
1000047,"@AmazonHelp my package 905550-5822307 arrived completely smashed, box was soaking wet too.","my package 905550-5822307 arrived completely smashed, box was soaking wet too.","I'm so sorry about that! I've started a replacement for order 905550-5822307 at no cost, it'll ship today. Please send a photo via DM so we can also file it with the carrier.","I'm so sorry about that! I've started a replacement for order 905550-5822307 at no cost, it'll ship today. Please send a photo via DM so we can also file it with the carrier.",1000047,delivery_issue
1000273,"@AmazonHelp worst customer service ever, nobody has responded about 431431-3028522 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 431431-3028522 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 431431-3028522. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 431431-3028522. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000273,complaint_escalation
1000065,Where's my refund for order 917857-7583025? Your app says 'processed' but nothing in my bank account.,Where's my refund for order 917857-7583025? Your app says 'processed' but nothing in my bank account.,"I've checked and your refund for 917857-7583025 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.","I've checked and your refund for 917857-7583025 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.",1000065,refund_request
1000145,"Locked out of my account for two days now, reset emails aren't arriving. Please help.","Locked out of my account for two days now, reset emails aren't arriving. Please help.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.",1000145,account_access
1000071,"@AmazonHelp requesting a refund for 215268-6705153, item never arrived and it's been 3 weeks.","requesting a refund for 215268-6705153, item never arrived and it's been 3 weeks.",Apologies for the delay -- I can confirm the return for 215268-6705153 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,Apologies for the delay -- I can confirm the return for 215268-6705153 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,1000071,refund_request
1000175,Why does my card show a charge for 662664-9636619 that's way more than what I was quoted at checkout?,Why does my card show a charge for 662664-9636619 that's way more than what I was quoted at checkout?,"Thanks for the heads up, that shouldn't happen. I've flagged 662664-9636619 to billing and a corrected charge/refund is being processed now.","Thanks for the heads up, that shouldn't happen. I've flagged 662664-9636619 to billing and a corrected charge/refund is being processed now.",1000175,billing_issue
1000075,@AmazonHelp I returned item 743550-1427833 two weeks ago and still no refund. This is ridiculous.,I returned item 743550-1427833 two weeks ago and still no refund. This is ridiculous.,Apologies for the delay -- I can confirm the return for 743550-1427833 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,Apologies for the delay -- I can confirm the return for 743550-1427833 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,1000075,refund_request
1000267,"@AmazonHelp worst customer service ever, nobody has responded about 342623-9353173 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 342623-9353173 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 342623-9353173. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 342623-9353173. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000267,complaint_escalation
1000137,"Locked out of my account for two days now, reset emails aren't arriving. Please help.","Locked out of my account for two days now, reset emails aren't arriving. Please help.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.",1000137,account_access
1000217,"Received 500164-2407450 today and it's clearly defective, won't power on at all.","Received 500164-2407450 today and it's clearly defective, won't power on at all.","That's disappointing, apologies. I've issued a replacement for 500164-2407450 and a prepaid label to send the defective one back whenever convenient.","That's disappointing, apologies. I've issued a replacement for 500164-2407450 and a prepaid label to send the defective one back whenever convenient.",1000217,product_defect
1000289,@AmazonHelp does the warranty on 951404-7711585 cover water damage?,does the warranty on 951404-7711585 cover water damage?,"Great question! Standard warranty on 951404-7711585 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.","Great question! Standard warranty on 951404-7711585 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.",1000289,general_inquiry
1000351,"@AmazonHelp just wanted to say your team fixed my 515611-4323224 issue super fast, thank you!","just wanted to say your team fixed my 515611-4323224 issue super fast, thank you!",So happy to hear that about 515611-4323224! We'll pass this along to the team.,So happy to hear that about 515611-4323224! We'll pass this along to the team.,1000351,positive_feedback
1000247,"Please cancel 728836-3473382, ordered by mistake.","Please cancel 728836-3473382, ordered by mistake.",Cancelled! Order 728836-3473382 hadn't shipped yet so it's been stopped and you won't be charged.,Cancelled! Order 728836-3473382 hadn't shipped yet so it's been stopped and you won't be charged.,1000247,cancellation
1000293,@AmazonHelp does the warranty on 400111-9146598 cover water damage?,does the warranty on 400111-9146598 cover water damage?,"Great question! Standard warranty on 400111-9146598 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.","Great question! Standard warranty on 400111-9146598 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.",1000293,general_inquiry
1000335,"@AmazonHelp just wanted to say your team fixed my 173769-6039024 issue super fast, thank you!","just wanted to say your team fixed my 173769-6039024 issue super fast, thank you!",So happy to hear that about 173769-6039024! We'll pass this along to the team.,So happy to hear that about 173769-6039024! We'll pass this along to the team.,1000335,positive_feedback
1000281,"@AmazonHelp worst customer service ever, nobody has responded about 180111-7051698 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 180111-7051698 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 180111-7051698. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 180111-7051698. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000281,complaint_escalation
1000053,Order 391945-7967519 says delivered but there's nothing on my porch. Ring camera shows no one came.,Order 391945-7967519 says delivered but there's nothing on my porch. Ring camera shows no one came.,"That's not okay, thank you for letting us know. I've opened an investigation for 391945-7967519 with the carrier and issued a reshipment.","That's not okay, thank you for letting us know. I've opened an investigation for 391945-7967519 with the carrier and issued a reshipment.",1000053,delivery_issue
1000021,@AmazonHelp my order 813451-9920785 still says 'preparing for shipment' after a week.,my order 813451-9920785 still says 'preparing for shipment' after a week.,Thanks for flagging this. Order 813451-9920785 is currently with the carrier -- tracking updates can lag up to 24h. We'll monitor it for you.,Thanks for flagging this. Order 813451-9920785 is currently with the carrier -- tracking updates can lag up to 24h. We'll monitor it for you.,1000021,order_status
1000307,Quick question -- do you ship 458566-2528309-type items internationally?,Quick question -- do you ship 458566-2528309-type items internationally?,"Great question! Standard warranty on 458566-2528309 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.","Great question! Standard warranty on 458566-2528309 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.",1000307,general_inquiry
1000067,"@AmazonHelp requesting a refund for 208566-9078612, item never arrived and it's been 3 weeks.","requesting a refund for 208566-9078612, item never arrived and it's been 3 weeks.","I've checked and your refund for 208566-9078612 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.","I've checked and your refund for 208566-9078612 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.",1000067,refund_request
1000327,"Shoutout to @AmazonHelp support for sorting out 647740-2826877 in like 10 minutes, appreciate it!","Shoutout to support for sorting out 647740-2826877 in like 10 minutes, appreciate it!","That means a lot, thank you for the kind words! Glad we could sort out 647740-2826877 quickly.","That means a lot, thank you for the kind words! Glad we could sort out 647740-2826877 quickly.",1000327,positive_feedback
1000297,Quick question -- do you ship 368165-5364912-type items internationally?,Quick question -- do you ship 368165-5364912-type items internationally?,"Great question! Standard warranty on 368165-5364912 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.","Great question! Standard warranty on 368165-5364912 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.",1000297,general_inquiry
1000261,"@AmazonHelp this is the THIRD time I've been ignored about order 320030-4535107. Absolutely done, filing a BBB complaint.","this is the THIRD time I've been ignored about order 320030-4535107. Absolutely done, filing a BBB complaint.",I completely understand your frustration and I'm sorry we've let you down on 320030-4535107. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 320030-4535107. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000261,complaint_escalation
1000123,"@AmazonHelp how do I return item 966286-4540702, wrong size arrived.","how do I return item 966286-4540702, wrong size arrived.",Sorry about that mix-up. You can start a free return for 966286-4540702 from Your Orders -- happy to send you the direct link if it's not showing.,Sorry about that mix-up. You can start a free return for 966286-4540702 from Your Orders -- happy to send you the direct link if it's not showing.,1000123,return_request
1000245,"@AmazonHelp need to cancel order 602278-5820415 ASAP, hasn't shipped yet right?","need to cancel order 602278-5820415 ASAP, hasn't shipped yet right?",Got it! I've submitted a cancellation for 602278-5820415 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,Got it! I've submitted a cancellation for 602278-5820415 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,1000245,cancellation
1000299,@AmazonHelp does the warranty on 606653-7616393 cover water damage?,does the warranty on 606653-7616393 cover water damage?,"Great question! Standard warranty on 606653-7616393 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.","Great question! Standard warranty on 606653-7616393 covers manufacturing defects, not water damage, but check if you added Extended Protection at checkout.",1000299,general_inquiry
1000271,"@AmazonHelp worst customer service ever, nobody has responded about 416618-3360675 in 5 days. Lawyer is next.","worst customer service ever, nobody has responded about 416618-3360675 in 5 days. Lawyer is next.",I completely understand your frustration and I'm sorry we've let you down on 416618-3360675. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,I completely understand your frustration and I'm sorry we've let you down on 416618-3360675. I'm escalating this to a senior specialist right now who will DM you directly within the hour.,1000271,complaint_escalation
1000251,"Please cancel 163607-9150338, ordered by mistake.","Please cancel 163607-9150338, ordered by mistake.",Got it! I've submitted a cancellation for 163607-9150338 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,Got it! I've submitted a cancellation for 163607-9150338 -- if it hasn't entered the shipping process it'll be stopped automatically and refunded in full.,1000251,cancellation
1000323,"Shoutout to @AmazonHelp support for sorting out 510539-9856044 in like 10 minutes, appreciate it!","Shoutout to support for sorting out 510539-9856044 in like 10 minutes, appreciate it!",So happy to hear that about 510539-9856044! We'll pass this along to the team.,So happy to hear that about 510539-9856044! We'll pass this along to the team.,1000323,positive_feedback
1000117,"Need to send back 253274-8958388, it's not what I ordered. What's the process?","Need to send back 253274-8958388, it's not what I ordered. What's the process?","No problem! Go to Your Orders > 253274-8958388 > Return or Replace Items, pick 'Wrong item' and you'll get a free prepaid label.","No problem! Go to Your Orders > 253274-8958388 > Return or Replace Items, pick 'Wrong item' and you'll get a free prepaid label.",1000117,return_request
1000081,Where's my refund for order 990174-9188423? Your app says 'processed' but nothing in my bank account.,Where's my refund for order 990174-9188423? Your app says 'processed' but nothing in my bank account.,"I've checked and your refund for 990174-9188423 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.","I've checked and your refund for 990174-9188423 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.",1000081,refund_request
